"Content","ReactionsCount","SubCommentsCount","CommentAt","stance","confidence","validation"
"I,ve  and my family  has been on Ester Island.  Great to see the many status. Very interesting   . Wonderful place . Amazing People 😍",1,0,"03/15/2023 10:58:19 AM","neutral",0.540905892848969,"neutral"
"Very interesting!!!",2,0,03/09/23 16:41,"criticizes the fake news",0.678141891956329,"believes the fake news"
"The bodies were discovered maaaaany years ago. Strange it keeps popping up as new discovery 🤔",1,0,03/10/23 08:09,"criticizes the fake news",0.566306054592133,"criticizes the fake news"
"This is so amazing.",0,0,03/11/23 15:11,"criticizes the fake news",0.661478698253632,"believes the fake news"
"This was discovered in the 50s. It's strange that it keeps popping up as a new discovery.",3,0,"03/14/2023 08:02:28 AM","criticizes the fake news",0.415117025375366,"criticizes the fake news"
"I've been twice on Easter Island. Great to see the many statues from nearby. Wonderful place and very nice people.",7,0,03/11/23 10:00,"neutral",0.662953197956085,"neutral"
"So so why were these statues buried that deep?? Interesting findings good work guys",5,2,03/10/23 23:22,"criticizes the fake news",0.69435977935791,"neutral"
"It is funny how no one wonders why the carving of the canoe is like a 2 year Olds fridge painting and the statue is carved like fine art. I would think 2 different historical times in the life of Easter island.",4,0,03/10/23 19:12,"criticizes the fake news",0.454021513462067,"criticizes the fake news"
"I’d absolutely love to go to see these! 🥰🥰",0,1,03/10/23 14:16,"neutral",0.506203055381775,"believes the fake news"
"I’ll never forget my trip to Easter island. The people were wonderful. I enjoyed it so much.❤️",16,3,03/10/23 12:31,"neutral",0.480016797780991,"neutral"
"Why is it special to suddenly realize that those moais bodies were covered with soil...if you know about basalt rock decaying...turns brown on outside caused by sun and rain...then it falls off the block of volcanic rock as clay and rock chips...then these gradually washed downwards along the mountain slopes in the process mixing with other organic matter...eventually it reaches the hillside standing moais...over hundreds of years it  gradually builds up until it reaches around the statues necks as you see before  digging..are you so stupid as not to realize that without even digging....it seems that you've just got out of the class room and then outside of the high-rise jungles...you are talking about something that is not part of your lives and not your type of culture hence your excitement over a minor aspect of something of not much significance....the is not yours ...it.is.in the people of Te Pito O Te Henua....give them the respect owed to them and their ancestors",5,1,03/10/23 09:45,"criticizes the fake news",0.597412645816803,"criticizes the fake news"
"Amazing!  I always wondered!",0,0,03/10/23 08:43,"criticizes the fake news",0.452375769615173,"believes the fake news"
"My question is...
If they stood on Easter Island for eons of time...why is the body coloring not damaged ..there would have been some change to it and the elements would have damaged the whole body, not just the head ...I love archaelogy!",9,3,03/10/23 04:20,"criticizes the fake news",0.419356614351273,"neutral"
"This isn't exactly news. As early as 1914, archaeologists on Easter Island discovered that the heads of at least some of the megalithic statues, traditionally called moai, were attached to torsos. Personally, I read about this as long ago as the late1950's.",15,12,03/10/23 04:07,"neutral",0.692544043064117,"criticizes the fake news"
"Nossa, vai mudar a história e trazer mais curiosidades, se já era difícil  entender, imagina agora !!!!",7,6,03/10/23 03:10,"criticizes the fake news",0.406993538141251,"believes the fake news"
"OSHA would be very upset with that dig. No shoring on the walls, potential cave in. However, this is awesome!!!",63,10,03/10/23 02:37,"criticizes the fake news",0.625147700309753,"criticizes the fake news"
"Reminds me of finding my 5x great grandmothers lost inscription.  The stone is from 1789 and had sunk five feet by 1864 when every inscription that could be read were recorded.  He husbands, now worn away, was, but nothing for her.",1,0,03/10/23 02:33,"criticizes the fake news",0.396851301193237,"criticizes the fake news"
"Oh I’d love to do something like that!",19,3,03/10/23 01:58,"believes the fake news",0.35100194811821,"believes the fake news"
