"Content","ReactionsCount","SubCommentsCount","CommentAt","stance","confidence","validation"
"Simple mind conditioning for the conspiracy plan in the future",36,17,"03/22/2024 04:16:06 AM","criticizes the fake news",0.51776134967804,"criticizes the fake news"
"Jade Johnson makes sense",0,0,"03/24/2024 03:09:18 AM","neutral",0.841075658798218,"believes the fake news"
"The Bermuda Triangle is the main grid that connects to all of the other Pyramids across the Planet...",21,13,"03/23/2024 12:17:25 AM","criticizes the fake news",0.485809236764908,"believes the fake news"
"They have known about this for a very long long time",18,2,"03/23/2024 07:35:57 AM","criticizes the fake news",0.454770237207413,"believes the fake news"
"I find this extremely fascinating.  Very interesting 👌",9,1,"03/24/2024 02:32:12 PM","neutral",0.461121320724487,"believes the fake news"
"The Bermuda triangle stopped existing............",0,0,"03/23/2024 06:14:33 AM","criticizes the fake news",0.341537117958069,"criticizes the fake news"
"Interesting",1,0,"03/24/2024 04:23:30 AM","criticizes the fake news",0.617415726184845,"believes the fake news"
"how about Oceangate could organize some trips down there ^^",1,0,"03/22/2024 11:59:13 PM","neutral",0.648959457874298,"neutral"
"Meu Deus do Céu",0,0,"03/22/2024 08:50:38 PM","neutral",0.863564312458038,"neutral"
"Great potato shop",4,5,"03/26/2024 03:05:23 AM","neutral",0.725460350513458,"neutral"
"Just curious what can be inside",0,0,"03/24/2024 10:24:45 AM","neutral",0.668867230415344,"neutral"
"well, yes... 20 years ago..  😅",0,0,"03/25/2024 01:47:45 AM","neutral",0.399456739425659,"criticizes the fake news"
"Yep. ………good job. They wernt able to get the sperm where it was sposed to go. Back in 2020.  Otherwise we all wouldn’t n Be here.    Activation didn’t happen.   Thank god Those that know know !! Wink wink",1,0,"03/22/2024 05:31:12 PM","believes the fake news",0.359845578670502,"criticizes the fake news"
"Incroyable",0,0,"03/26/2024 11:08:13 AM","criticizes the fake news",0.518805921077728,"criticizes the fake news"
"Bermuda triangle, life inside there",0,0,"03/22/2024 07:38:12 PM","neutral",0.64742773771286,"neutral"
"Prachtig. Geweldig nieuws 🙏🏻🙏🏻🙏🏻",0,0,"03/24/2024 03:55:38 PM","neutral",0.520511984825134,"believes the fake news"
"Tiene sentido !",0,0,"03/25/2024 03:04:32 AM","believes the fake news",0.401837646961212,"believes the fake news"
"Of course !",0,0,"03/23/2024 09:10:35 AM","neutral",0.555110454559326,"believes the fake news"
"Very interesting",0,0,"03/27/2024 09:09:06 AM","criticizes the fake news",0.662992537021637,"believes the fake news"
"I love that they are finding these all over the world. Can’t wait to see others",0,0,"03/23/2024 08:34:21 PM","neutral",0.641500949859619,"believes the fake news"
"Right...",0,0,"03/23/2024 03:02:13 PM","neutral",0.67253440618515,"believes the fake news"
"Iv been there 😆",1,0,"03/22/2024 05:29:27 PM","criticizes the fake news",0.457062035799027,"believes the fake news"
"Sounds about right",4,0,"03/23/2024 05:52:39 AM","neutral",0.932293117046356,"believes the fake news"
"Love it!!!",5,1,"03/24/2024 02:52:34 AM","criticizes the fake news",0.457350760698319,"believes the fake news"
"Great news",3,0,"03/22/2024 05:54:32 PM","neutral",0.700682818889618,"believes the fake news"
"Zenada",0,0,"03/22/2024 10:12:57 PM","neutral",0.816264510154724,"neutral"
"Woow.",0,0,"03/22/2024 04:55:08 PM","criticizes the fake news",0.467859506607056,"believes the fake news"
"Amazing",0,0,"03/26/2024 01:11:52 AM","criticizes the fake news",0.458198428153992,"believes the fake news"
"Right. 😆",1,0,"03/22/2024 07:04:33 PM","neutral",0.571032762527466,"believes the fake news"
"Story teller",0,0,"03/23/2024 06:28:17 AM","neutral",0.565312743186951,"criticizes the fake news"
"Muy interesante",0,0,"03/22/2024 01:54:00 PM","criticizes the fake news",0.589107155799866,"believes the fake news"
"Andrew Davies Radge Pot Singh Craig Williams Robert Matge Steven Burgoyne not sure how legit this is, but for sure it seems more legit than a certain new group member 🤣 miss you guys!",2,34,"03/23/2024 02:30:21 AM","criticizes the fake news",0.418352782726288,"criticizes the fake news"
"John Jackson",0,1,"03/25/2024 01:58:34 AM","neutral",0.697906017303467,"neutral"
"Inman Campbell dive trip? 🤣😎",1,0,"03/23/2024 04:39:09 AM","believes the fake news",0.443208634853363,"neutral"
"Atlantis",0,0,"03/23/2024 02:13:27 PM","neutral",0.728825628757477,"neutral"
"Carel Shoates",1,0,"03/25/2024 03:22:40 AM","neutral",0.736426830291748,"neutral"
"Niwat Mekhintharasombat",1,0,"03/24/2024 12:16:14 PM","neutral",0.661527097225189,"neutral"
"Eric Howell",0,0,"03/25/2024 11:53:41 AM","neutral",0.748159527778626,"neutral"
"Diego Raphael",2,0,"03/23/2024 03:41:06 AM","neutral",0.72968327999115,"neutral"
