"Content","ReactionsCount","SubCommentsCount","CommentAt","stance","confidence","validation"
"Transformers :)",16,0,"07/24/2013 09:10:05 PM","neutral",0.547276973724365,"criticizes the fake news"
"Sorry to say most of you are going to have to think outside of your tiny prison like box that your religious parents put you in",9,0,"07/24/2013 10:04:20 PM","neutral",0.445133656263351,"criticizes the fake news"
"That happened long ago....Alien vs Predator lol movie",15,2,"07/24/2013 08:11:11 PM","neutral",0.516699731349945,"criticizes the fake news"
"Learn to spell you potato... (Abhishek)",7,0,"07/25/2013 03:39:19 AM","criticizes the fake news",0.498215526342392,"criticizes the fake news"
"Been saying for years that I reckon something's buried under Antarctica that would make us rethink our history. Be nice if they are artificial constructs and not natural formations. Guess we'll all have to wait and see.",6,0,"07/24/2013 10:43:40 PM","neutral",0.446900635957718,"criticizes the fake news"
"Beware....!Transformers have hidden there machines.....!!!",9,0,"07/24/2013 08:15:59 PM","believes the fake news",0.483558058738709,"criticizes the fake news"
"Google it people. Have some common sense and make up your own minds. Complete hoax. The structures are glacial horns. Google it",4,0,"07/24/2013 09:29:51 PM","criticizes the fake news",0.721298098564148,"criticizes the fake news"
"I see a battle between alien and predator going on here.",4,0,"07/25/2013 01:05:48 AM","criticizes the fake news",0.710088729858398,"criticizes the fake news"
"Pissable? Is that a word?",3,0,"07/25/2013 12:27:22 AM","criticizes the fake news",0.557546615600586,"criticizes the fake news"
"Predator Vs Aliens ! lol",3,0,"07/24/2013 10:30:15 PM","believes the fake news",0.642301797866821,"criticizes the fake news"
"Aliens,please stop trolling us...lol",4,0,"07/24/2013 08:13:47 PM","criticizes the fake news",0.735693454742432,"criticizes the fake news"
"Martin Dell",1,0,"07/25/2013 02:15:47 PM","neutral",0.76324325799942,"neutral"
"Adem Kamchah",2,0,"07/24/2013 08:16:10 PM","neutral",0.655500531196594,"neutral"
"Winter is coming",3,0,"07/24/2013 08:33:04 PM","neutral",0.606062710285187,"criticizes the fake news"
"Check out what Edgar Cayce says about that landmass, and others. Keep an open mind to the fact that we are not at all the pinnacle of human civilization.",3,0,"07/24/2013 08:30:41 PM","neutral",0.66929829120636,"believes the fake news"
"Bullshittttttt Emma Danielle",1,0,"07/25/2013 02:26:45 AM","believes the fake news",0.558908343315125,"criticizes the fake news"
