Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,validation
"“Carved by lava and time” it says about something clearly moulded out of sand. And not too deeply at that, so that’s a few minutes work. Less if those really are tyre tracks all along the sole 😄",57,8,10/29/2025 03:27:52 PM,neutral,6.191.463.470.458.980,criticizes the fake news
This is definitely legit 😬🤔😂,23,11,10/29/2025 03:28:36 PM,criticizes the fake news,7.118.892.073.631.280,criticizes the fake news
We need a link to the page,6,5,10/29/2025 03:28:57 PM,neutral,5.787.709.355.354.300,neutral
AI,5,0,10/29/2025 03:29:40 PM,neutral,6.359.158.158.302.300,criticizes the fake news
Sole entry in the 'human forms' sand constructions competition - no prizes awarded.,12,0,10/29/2025 03:31:31 PM,neutral,9.485.856.890.678.400,criticizes the fake news
He seems to have been wearing beach shoes...,9,1,10/29/2025 03:32:28 PM,neutral,6.892.185.807.228.080,criticizes the fake news
That shirtless moron would love this 😂😂,3,0,10/29/2025 03:32:33 PM,believes the fake news,566.299.557.685.852,criticizes the fake news
i c a i b s,2,1,10/29/2025 03:34:19 PM,neutral,7.780.570.983.886.710,neutral
"Yep, if that’s not real it’s definitely what I’d call a perfect illusion.",3,0,10/29/2025 03:34:22 PM,criticizes the fake news,507.451.057.434.082,criticizes the fake news
https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/574272174_33038144585784723_3076018553183306106_n.jpg?stp=dst-jpg_p206x206_tt6&_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=jrcsk2A15a0Q7kNvwHZjE-Z&_nc_oc=AdkLfB0HOWVqBJS8cJfAYMVXnjhbsJSlU8CzqtjIL4BZyv5CEVhH52fGCHHHpqbMjek&_nc_zt=23&_nc_ht=scontent-fco2-1.xx&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&oh=00_AfiA5D3FiNbECblnVbhIqGprkiMDDFzA8kh6NAOTU5oi1Q&oe=6913F574,10,0,10/29/2025 03:38:24 PM,neutral,37.687.012.553.215.000,neutral
"I particularly love how all these giants and dinosaur-riding humans always seem to descend from high above, boop the ground once and be gone.",30,4,10/29/2025 03:38:28 PM,neutral,38.554.102.182.388.300,criticizes the fake news
"Those are the only two possible explanations? How about ""a gang of adolescents playing a prank""?",6,6,10/29/2025 03:39:38 PM,criticizes the fake news,6.189.661.026.000.970,criticizes the fake news
Bro this is the most flat footed giant I ever seen. Do he got a giant podiatrist?,6,1,10/29/2025 03:40:07 PM,criticizes the fake news,5.245.372.653.007.500,criticizes the fake news
Do you ever wonder if some of these people are just Foot Guys who fantasize about getting stepped on?,9,0,10/29/2025 03:41:33 PM,criticizes the fake news,7.340.220.808.982.840,criticizes the fake news
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/14828696805627573183?url=https%3A%2F%2Fmedia.tenor.co%2FsOxx6hPTkKwAAAAM%2Fal-bundy-bundy.gif&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s220x166_tt6&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&_nc_oc=AdmO5esa8Zudp5hUo6MpWIgB0h50VjARSXwvsWheSk5k1MtDlC_XWls3A_3SuJvDS34&ccb=13-1&oh=06_Q3-4ARREh-foQn6k5_jXi1pDTsHldcexUgZt2HrywpYeg04g&oe=69100741&_nc_sid=c97757,3,1,10/29/2025 03:42:43 PM,neutral,3.934.601.843.357.080,neutral
Was it created by the Foot Clan?,2,0,10/29/2025 03:43:13 PM,criticizes the fake news,6.802.683.472.633.360,criticizes the fake news
