Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,validation
"The statues actually have bodies, as you see from the pictures following the first one, but the arms are more stylized (simplified). The first picture with crossed arms is a hoax. Why do some small minds think they are cute when they spread wrong information? Maybe it's the only way they can get some attention...",493,37,04/12/16 19:37,criticizes the fake news,0.80487871170044,neutral
"Isn't the grass green today? yeah, it's green. Very green. Greener than yesterday? No, not that green. Nice weather isn't it? Blablablabla.....",67,1,04/12/16 08:43,neutral,0.383668303489685,neutral
"Did read somewhere that ancient hieroglyphs of some sort are on the back at the bottom of the statue. What's the betting they find out, when translated, it say's 'Made in China'? :)",30,0,04/14/2016 10:31:05 AM,criticizes the fake news,0.485737532377243,believes the fake news
Lol so fake. I've seen multiple documentaries on Easter Island. And even watched ppl attempt to move them the way their creators did with rope.,29,2,04/14/2016 04:58:08 PM,criticizes the fake news,0.695488393306732,criticizes the fake news
Parece increible que estas esculturas tan enormes fueron construidas hace miles de años sin contar con maquinaria y adelantos algunos para lograr estas maravillas.,19,0,04/13/2016 10:42:20 PM,neutral,0.456722229719162,believes the fake news
"Its real.I think ,no one talked about it ,because its"" Easter ""Islands ,and the ""heads"" hold their cocks .Very likely there is a religious politics behind it .",10,0,04/12/16 19:02,criticizes the fake news,0.440352290868759,believes the fake news
"I love this picture, it's as if they are saying ""What took you dummy's so long to figure this out"". lol",4,0,04/13/2016 07:02:24 PM,criticizes the fake news,0.835516035556793,neutral
"EVERYONE this IS IT EHAT IT LOOKS LIKE ITS. :) https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/462120848_2606810872853967_84591487318582726_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=phPlQ8_SSOsQ7kNvgFQqSBc&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYClKqvZxPVAQY69SJltMw4cfP87Pm3IFRXZTtnPR5hc9Q&oe=67A00079",25,5,04/12/16 12:58,believes the fake news,0.677618622779846,believes the fake news
https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/464722824_8890366694335860_8563890557972106582_n.jpg?stp=dst-jpg_p370x247_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=YiXX3g-mlBYQ7kNvgGstuvJ&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYC61b8B4Q7omn6_2r_etw7mQ2WAMHhf6-HIqI9WzEY0nw&oe=67A00626,1211,57,04/11/16 23:46,neutral,0.391803354024887,neutral
Hahahahahah Travis Halterman see!! There is an Easter Island!,1,0,05/16/2016 09:48:38 PM,believes the fake news,0.589736461639404,believes the fake news
"As much as I know these statues became famous as a mysterious heads ""growing"" from the earth,but here we have more to know more about their story. But when the hidden parts of the statues were uncovered,pls? I didn't see it yet",8,0,04/15/2016 10:12:58 PM,criticizes the fake news,0.425560891628265,criticizes the fake news
