Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
"What if (Hindu, Buddhist, Muslim, Christian, antithesis, scientists, psychology) Share same truth...?  Mankind is blind nowdays just like 7 brother argument for a elephant look. Being concerned about other people is especially relevant in today's world. If we consider the complex inter-connected ness of our modern lives, how we depend on others and others depend on us, our outlook will change. We’ll begin to see 'others' not as somehow distant from us, but as people we are in touch with, people close to us; we will no longer feel indifferent to them.",18,0,10/17/2015 12:39:17 PM,neutral,0.3619869649410248,non_irony,0.5847867131233215,Likely critical or skeptical language.
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/464969608_8961682433863757_7613597871330312245_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=9xSGSjgh8cgQ7kNvgHfzumy&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYCbFvDpeHwrDKRKvS7C6-9yrG4X6CizyUOMztB9YED6Ig&oe=67A038F1,31,0,10/17/2015 04:46:48 PM,criticizes the fake news,0.3786501884460449,non_irony,0.9517754316329956,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"Gautama Buddha was the greatest teacher ever the world have. According to the Buddha, we have 33 Lokho Bumis (33 world) in the universe but the scientist found 9, so its possbl to hav a buddha statue in mars by buddha's super enliphtenment power.",11,0,10/18/2015 03:28:37 AM,criticizes the fake news,0.493090957403183,non_irony,0.8518139123916626,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
aliens are buddhist.....!,4,0,10/17/2015 05:48:52 PM,believes the fake news,0.5315477848052979,irony,0.8493982553482056,Ambiguous or uncertain expression — may need manual review.
Those statue might be taken and place by the NASA' s Buddhist astronauts,0,0,10/18/2015 11:21:55 AM,criticizes the fake news,0.42232546210289,irony,0.5469594597816467,Ambiguous or uncertain expression — may need manual review.
"Look another instance of Pareidolia! Pareidolia is the tendency for humans to see familiar shapes in patterns or objects. It is why people see shapes in the clouds, or faces on toast... Nothing special at all.",3,0,10/18/2015 10:43:56 AM,neutral,0.5959081649780273,irony,0.7524743676185608,Likely critical or skeptical language.
"Because getting a closer shot is unimaginable? Kind of like every UFO and Bigfoot/Alien sighting is captured in 240p, with today's technical specs giving most cell phone recordings a 720p standard? Excuse me, while I dismiss every bullshit theory about image speculation.",1,0,10/18/2015 03:18:09 PM,believes the fake news,0.505920946598053,non_irony,0.7356589436531067,Sarcastic questioning — likely expressing doubt or disbelief.
"To me , it seems like statue of Modijee touching his mothers feet, he knows where the camera man is lol,,,,",5,0,10/17/2015 03:50:42 PM,believes the fake news,0.4232170283794403,non_irony,0.6227039694786072,Likely critical or skeptical language.
NASA is good at creating such story.,2,0,10/17/2015 12:48:42 PM,believes the fake news,0.5595913529396057,irony,0.8887950778007507,Ambiguous or uncertain expression — may need manual review.
a martian answering the nature's call?,0,0,10/17/2015 08:11:40 PM,neutral,0.4662471115589142,non_irony,0.6956197023391724,Sarcastic questioning — likely expressing doubt or disbelief.
"Because of ignorance, several illusions may take indefinite shape and synoptic...but required gradually study and experiment of very phenomena...",1,0,10/17/2015 04:26:12 PM,criticizes the fake news,0.5171523094177246,non_irony,0.8592228293418884,Likely critical or skeptical language.
"This is photo taken while I went to mars  without oxygen.

https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/454517036_2272480986428772_7254174306476498244_n.jpg?stp=dst-jpg_s526x395_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Q2J7k59GWXAQ7kNvgGAfuz7&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AkTCyk-nQf9dvI-MH_muuvq&oh=00_AYDyAiFJ0vAALNzghIP0ZfUBGS6aIrefzfN9l6R0-gnkBg&oe=67A02466",1,0,10/18/2015 04:33:48 AM,believes the fake news,0.4042310416698456,non_irony,0.9485548138618469,Possible ironic endorsement — sarcasm misinterpreted as belief.
we never surprise seeing  this NASA. I think for the next report they would say they met Jesus on Space.....lol,2,0,10/17/2015 02:22:00 PM,neutral,0.3536198437213897,irony,0.7553524374961853,Ambiguous tone — sarcastic or humorous uncertainty.
This is just another confusing matter. It is difficult to buy the claims untill things become clear. Just claiming something doesn’t mean that is final truth. I hope it is not a statue at all.,0,0,10/17/2015 04:17:01 PM,criticizes the fake news,0.4490903317928314,non_irony,0.9508957266807556,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"Religious Aliens. Okay, whatever!",0,0,10/17/2015 08:55:03 PM,neutral,0.5700110793113708,irony,0.7458993792533875,Ambiguous or uncertain expression — may need manual review.
There's a 'Sleeping Buddha' back home in Darj and Sikkim. I see him everyday from my bedroom window. (y),0,0,10/17/2015 05:43:55 PM,neutral,0.4829801321029663,non_irony,0.7229804396629333,Ambiguous tone — sarcastic or humorous uncertainty.
Not be trust some time technology also lie.but as a relagion we must believe .,0,0,10/18/2015 07:37:00 PM,criticizes the fake news,0.5369347929954529,non_irony,0.9341636896133423,Likely critical or skeptical language.
"I saw a cloud today that resembled this too; therefore i'm going to buy a plane and chase it around. Those of you who would like to worship 'guatam buddha', well i guess you can purchase a one way ticket to 'paradise mars'....hope you enjoy your flight!!! Oh, and would you mind taking all these 'non-AMERICANS' with you...they desperately need something other than welfare to FOCUS on for a few centuries. Thanks!",0,0,10/18/2015 02:31:45 PM,criticizes the fake news,0.4600007534027099,non_irony,0.5096898674964905,Likely critical or skeptical language.
NASA pulling its strings for more funding!! Feed this planet first.,1,0,10/18/2015 02:21:48 PM,criticizes the fake news,0.5354053378105164,irony,0.9012928009033203,Ambiguous or uncertain expression — may need manual review.
I believe in aliens so i believe 50% in this pic,0,0,10/20/2015 10:13:05 AM,neutral,0.4292990863323211,non_irony,0.5726699233055115,Ambiguous or uncertain expression — may need manual review.
Can't be shown another clear image for this.??  Cause  this could be edited somehow by expert..  But and then I am also believers of life on Mars.,0,0,10/17/2015 07:29:08 PM,criticizes the fake news,0.3981190323829651,irony,0.641778290271759,Sarcastic questioning — likely expressing doubt or disbelief.
"Gautam Buddha statue with boobs :P :P :P  Religious people are so damn stupid. Please dont destroy Mars, like you idiots have done on earth.",4,1,10/17/2015 01:20:31 PM,criticizes the fake news,0.4181745052337646,irony,0.8565154671669006,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"wow our lord buddha is also worshipped by martians 󾌵 proud to be a buddhist,  buddha dhamma sanga may the triple gems bless every living being",5,0,10/17/2015 12:35:49 PM,criticizes the fake news,0.4077955186367035,irony,0.8931260704994202,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"We see what we look. Our mind is filled with thousand of images and this could be one of it. To Buddha it is just a Maya and Maya is the cause of all the suffering. Purified mind is when one deletes all the images in our mind. We see this kind of images in clouds, on bark of trees, on stones and lots more. They even saw a mans face on the moon and a pyramid type on the surface of Mars. Whoever saw that image as Buddha shows his respect to Buddha and I respect his vision. Now it is up to us how we judge it as. Thank you for sharing the image.",1,0,10/22/2015 09:45:53 PM,criticizes the fake news,0.3732787668704986,non_irony,0.8474213480949402,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
I want whatever you guys are smoking.,3,0,10/17/2015 07:31:40 PM,neutral,0.524640679359436,irony,0.5911890268325806,Ambiguous or uncertain expression — may need manual review.
NASA does not have a good dslr camera i.e why the picture is not clear......! lol :-D,0,0,10/18/2015 08:27:23 AM,criticizes the fake news,0.4148196280002594,non_irony,0.6751230955123901,Likely critical or skeptical language.
Idk its true or not but let me tell you non Buddhist..if you dnt like Buddhism stop commenting and follow what your lord or living god said...:-),2,0,10/17/2015 07:22:56 PM,neutral,0.5767436623573303,non_irony,0.8248183727264404,Likely critical or skeptical language.
it looks more like Abraham Lincoln than Buddha :D,0,0,10/17/2015 03:08:51 PM,neutral,0.4746770560741424,non_irony,0.6898366212844849,Ambiguous or uncertain expression — may need manual review.
Looks like a pile of Rocks to me,0,0,10/18/2015 04:15:19 PM,neutral,0.430820107460022,non_irony,0.55012047290802,Ambiguous or uncertain expression — may need manual review.
Hahahahaha now they see buddha ... oh yeah wright,1,0,10/18/2015 04:46:02 PM,believes the fake news,0.4646316170692444,irony,0.9167344570159912,Possible ironic endorsement — sarcasm misinterpreted as belief.
"How does that look like budha please explain wit n appropriate diagram... would love to see it accurately. ..... insread of some unclear grainy image, beacuse for me, that looks like STONE N ROCKS In a hilly area. ... s simple s that",1,0,10/17/2015 12:53:50 PM,criticizes the fake news,0.4403948783874511,non_irony,0.9179141521453857,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
oh i c :3,1,0,10/17/2015 12:40:51 PM,neutral,0.4902784824371338,irony,0.6366298198699951,Ambiguous or uncertain expression — may need manual review.
"That's just a rock that resembles a man. How is that Buddha? The jumping to conclusion stretch if measured, can land you in Mars.",1,0,10/17/2015 02:38:53 PM,criticizes the fake news,0.4559156894683838,non_irony,0.8563506603240967,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Hindu relegion is the Relegion of Whole World.....,1,0,10/17/2015 05:08:29 PM,criticizes the fake news,0.4249998331069946,irony,0.637604832649231,Ambiguous or uncertain expression — may need manual review.
Konsi angle se Gautam Bhuddha lag raha hai beta,1,0,10/17/2015 01:42:19 PM,neutral,0.571224570274353,non_irony,0.6988843083381653,Ambiguous or uncertain expression — may need manual review.
Just psycho-effect. Fallacy of mal observation! Wrong perception.Uh! Darwin's man is again transforming into monkey.,1,0,10/17/2015 05:11:39 PM,believes the fake news,0.5048788785934448,non_irony,0.714164674282074,Ambiguous or uncertain expression — may need manual review.
Picture is not clear,1,0,10/17/2015 12:45:05 PM,neutral,0.5865086317062378,non_irony,0.8687413930892944,Likely critical or skeptical language.
Kya tumhe hum CHUTIYA lagte hain??,1,0,10/17/2015 02:14:29 PM,neutral,0.3911250233650207,non_irony,0.7740100026130676,Ambiguous tone — sarcastic or humorous uncertainty.
let me know when you find Elvis,1,2,10/17/2015 02:45:27 PM,neutral,0.5281665325164795,non_irony,0.7867847084999084,Likely critical or skeptical language.
it look like our old pressure cooker.,1,0,10/18/2015 01:25:55 PM,neutral,0.5281042456626892,non_irony,0.6829842329025269,Ambiguous or uncertain expression — may need manual review.
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/465369697_10222279197883892_3794591117186626722_n.jpg?stp=dst-jpg_p417x417_tt6&_nc_cat=108&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=JxwP-DntDs0Q7kNvgG6GZj1&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AFRY0fQPD5XZXHkLwhE8F5c&oh=00_AYAZdk0M6jdjs52-J2cm-wlUp9SVwqtmzr-CfsbtkRX_3Q&oe=67A00CF6,0,0,10/18/2015 10:59:33 AM,criticizes the fake news,0.3718156218528747,non_irony,0.9533424377441406,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
I saw Mickey Mouse in the clouds once. Proof that God is Walt Disney.,0,0,10/18/2015 04:32:28 PM,criticizes the fake news,0.3759155571460724,non_irony,0.5229703187942505,Ambiguous or uncertain expression — may need manual review.
Destroyed by Islam  ??????,0,0,10/17/2015 05:09:28 PM,criticizes the fake news,0.4098195433616638,irony,0.8633823394775391,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
horsefeathers!,0,0,10/18/2015 12:00:17 PM,believes the fake news,0.4281346797943115,irony,0.6442773938179016,Ambiguous or uncertain expression — may need manual review.
Amazing,0,0,10/18/2015 02:57:26 AM,criticizes the fake news,0.4581984281539917,irony,0.9165489673614502,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
looks more like the venus of willendorf to me lol,0,0,10/18/2015 01:08:13 PM,criticizes the fake news,0.5204971432685852,non_irony,0.792293131351471,Ambiguous or uncertain expression — may need manual review.
Looks more like Mel Brooks...,0,0,10/18/2015 10:40:06 AM,criticizes the fake news,0.4367614686489105,non_irony,0.6566687226295471,Ambiguous or uncertain expression — may need manual review.
All rubbish.,0,0,10/17/2015 07:21:16 PM,believes the fake news,0.5014479756355286,non_irony,0.5697984099388123,Ambiguous or uncertain expression — may need manual review.
Fucking bullshit......,0,0,10/17/2015 06:47:57 PM,criticizes the fake news,0.5463335514068604,irony,0.5466665029525757,Ambiguous or uncertain expression — may need manual review.
"From which angle, it does looks like the statue of Buddha???",0,0,10/17/2015 03:50:57 PM,criticizes the fake news,0.5318683385848999,non_irony,0.8769149780273438,Sarcastic questioning — likely expressing doubt or disbelief.
Have they seen Jesus on the side of a refrigerator yet.,0,0,10/18/2015 04:01:48 PM,criticizes the fake news,0.5332510471343994,non_irony,0.7878699898719788,Ambiguous or uncertain expression — may need manual review.
Bullshit,0,0,10/17/2015 12:45:29 PM,believes the fake news,0.5370250940322876,irony,0.5503329038619995,Ambiguous or uncertain expression — may need manual review.
sorry i dont see it.i do see an angel statue lol,0,0,10/18/2015 02:38:17 PM,neutral,0.495434045791626,non_irony,0.826856255531311,Ambiguous tone — sarcastic or humorous uncertainty.
thats man like structure not sure who made it or built it self,0,0,10/17/2015 09:48:04 PM,neutral,0.5528554916381836,non_irony,0.8655373454093933,Likely critical or skeptical language.
khawi khi maw? zawngtah kung lo zawng leh teh u...,0,0,10/18/2015 06:03:04 AM,neutral,0.5805405378341675,non_irony,0.922955334186554,Sarcastic questioning — likely expressing doubt or disbelief.
NASA playing game lol,0,0,10/17/2015 03:51:03 PM,believes the fake news,0.3967500925064087,irony,0.6598808169364929,Ambiguous or uncertain expression — may need manual review.
To make money one has to make story and through that story they can make money very easy.,0,0,10/18/2015 04:23:26 AM,neutral,0.4544077217578888,irony,0.6482468843460083,Ambiguous or uncertain expression — may need manual review.
Impossible,0,0,10/17/2015 12:44:47 PM,criticizes the fake news,0.4231553971767425,non_irony,0.6697704195976257,Ambiguous or uncertain expression — may need manual review.
You gotta be smoking Buddha to see Buddha,0,0,10/18/2015 11:22:34 AM,criticizes the fake news,0.5606235861778259,irony,0.625339686870575,Ambiguous or uncertain expression — may need manual review.
Artificial,0,0,10/17/2015 02:26:25 PM,neutral,0.4475528597831726,irony,0.5541638135910034,Ambiguous or uncertain expression — may need manual review.
nuisance all these!,0,0,10/17/2015 01:20:20 PM,criticizes the fake news,0.5353423357009888,non_irony,0.5856209397315979,Ambiguous or uncertain expression — may need manual review.
Faltuu,0,0,10/17/2015 12:38:44 PM,believes the fake news,0.4371092021465301,non_irony,0.6245147585868835,Ambiguous or uncertain expression — may need manual review.
faltuu,0,0,10/17/2015 12:38:32 PM,believes the fake news,0.518158495426178,non_irony,0.64369797706604,Ambiguous or uncertain expression — may need manual review.
n also u can find pictures of salman sharukh amir bacchan ajay n so on ..continue ...,0,0,10/17/2015 06:46:42 PM,neutral,0.4988456666469574,non_irony,0.6174286603927612,Ambiguous or uncertain expression — may need manual review.
https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/463278906_8111392662297998_1848906471048037669_n.jpg?stp=dst-jpg_s526x296_tt6&_nc_cat=100&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=4YgF6FUpolcQ7kNvgF_H9iM&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AgHSlV-2cqmRDmlTzbbbM8P&oh=00_AYBWc_qMU-Jb9PvWwaEK-UgRB7nZ3kiPW8oDsJZZxhj23w&oe=67A00C9E,1,0,10/17/2015 12:46:51 PM,neutral,0.383817195892334,non_irony,0.9532182216644287,Ambiguous tone — sarcastic or humorous uncertainty.
https://m.facebook.com/photo.php?fbid=748300078607330&id=100002820343898&set=a.104598402977504.5194.100002820343898&_rdr,0,0,10/17/2015 12:45:12 PM,neutral,0.5214863419532776,non_irony,0.8796358108520508,Sarcastic questioning — likely expressing doubt or disbelief.
"God is everywere! God can maked everything! These world is not made by us !  We will see so maney a unknowns objects.So, we need study about anythings.",0,0,10/17/2015 05:59:43 PM,criticizes the fake news,0.4125159680843353,irony,0.6932094693183899,Likely critical or skeptical language.
What a joke...  This coming from northeast today? Don't dumb yourself down.,0,0,10/17/2015 04:18:06 PM,criticizes the fake news,0.4784058034420013,irony,0.9213717579841614,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
This is bullshit. ..,0,0,10/17/2015 12:54:17 PM,criticizes the fake news,0.5270439386367798,irony,0.7805230021476746,Ambiguous or uncertain expression — may need manual review.
It shows the time tells us about the time is nearer for The LORD JESUS coming. ..,0,0,10/18/2015 11:50:00 AM,neutral,0.408236026763916,irony,0.8600908517837524,Ambiguous tone — sarcastic or humorous uncertainty.
I find it very hard to believe that someone can actually say this kind of thing.,0,0,10/17/2015 03:59:45 PM,believes the fake news,0.4288904964923858,non_irony,0.7211101651191711,Possible ironic endorsement — sarcasm misinterpreted as belief.
thats my grandpa laura!!!!....,0,0,10/17/2015 07:02:11 PM,criticizes the fake news,0.4532639384269714,irony,0.5262200236320496,Ambiguous or uncertain expression — may need manual review.
human biengs are too fast in assuming things... funny,0,0,10/17/2015 03:48:21 PM,believes the fake news,0.3942376375198364,irony,0.9416118264198303,Possible ironic endorsement — sarcasm misinterpreted as belief.
dats no Buddha...whos sayin its buddha..its a huge stone,0,0,10/17/2015 03:15:12 PM,neutral,0.5444625020027161,non_irony,0.8949832320213318,Likely critical or skeptical language.
any prove,0,0,10/17/2015 01:59:18 PM,criticizes the fake news,0.5848222970962524,non_irony,0.8342501521110535,Ambiguous or uncertain expression — may need manual review.
Hhhhhhh   it seem s  dead cat  lol,0,0,10/18/2015 03:04:46 PM,believes the fake news,0.5433828234672546,non_irony,0.5002887845039368,Ambiguous or uncertain expression — may need manual review.
"you khon bae terang.....you dont know anything nowaday wad its happen in this world ....n u dont worship the word of buddha...n i think u guy u worship those animals like cow,goat,stone etc",0,0,10/18/2015 01:41:55 PM,criticizes the fake news,0.3865212500095367,non_irony,0.9308258295059204,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
i saw its got a monster d***,0,0,10/18/2015 12:53:02 PM,criticizes the fake news,0.5201369524002075,non_irony,0.5578629970550537,Ambiguous or uncertain expression — may need manual review.
jokes of the day,0,0,10/18/2015 04:04:52 AM,neutral,0.5226470828056335,irony,0.836007833480835,Ambiguous or uncertain expression — may need manual review.
That could be an giant mammoth's poop's.,0,0,10/17/2015 01:43:31 PM,neutral,0.4681064784526825,non_irony,0.7730194926261902,Ambiguous tone — sarcastic or humorous uncertainty.
There's something or what????,0,0,10/21/2015 12:01:59 PM,criticizes the fake news,0.3773872554302215,non_irony,0.8519007563591003,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"Dear frnds a match between barcelona n r.madrid will b played on mars !!
hurry tickets limited !",0,0,10/18/2015 06:15:44 PM,criticizes the fake news,0.5862401723861694,non_irony,0.7098180055618286,Ambiguous or uncertain expression — may need manual review.
cr*p resolution,0,0,10/18/2015 01:11:56 PM,criticizes the fake news,0.370798647403717,non_irony,0.6787252426147461,Ambiguous or uncertain expression — may need manual review.
it doesn't even looks like human beings lol,0,0,10/17/2015 08:52:57 PM,criticizes the fake news,0.5332743525505066,non_irony,0.5853791832923889,Ambiguous or uncertain expression — may need manual review.
sob pagla hol....earth t ki ki ase heituye najne ..atiya aku march t ki ase sabo ahise ...tezpur niba lagbo,0,0,10/17/2015 06:15:49 PM,neutral,0.3832343518733978,non_irony,0.8889757394790649,Ambiguous tone — sarcastic or humorous uncertainty.
Mayb he has been watching lots of this fiction movies dis days.. lol..,0,0,10/17/2015 02:13:59 PM,believes the fake news,0.5080336928367615,irony,0.5446459054946899,Ambiguous or uncertain expression — may need manual review.
Don't gve imprtnt in worshipng such things...coz u ll nt gain any..instead blfe  in God...n worship him wit ol ur heart..he is our super hero,1,1,10/17/2015 12:43:26 PM,neutral,0.596836268901825,non_irony,0.9592481851577759,Ambiguous or uncertain expression — may need manual review.
"Bill Clinton says ""it looks like a bare breasted woman.

https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/466913853_10233989709194430_1699785876923247282_n.jpg?stp=dst-jpg_p350x350_tt6&_nc_cat=103&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=H06N5eKcx3MQ7kNvgEhYEkP&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AR2YrmxGvpxZrfuyDDRPLpa&oh=00_AYAPhFYFkuuJjxGcUszpLZTGQPbv3E_85h0uyeBDg__swg&oe=67A02E50",0,0,10/18/2015 04:27:08 PM,believes the fake news,0.5501055717468262,non_irony,0.9402934312820435,Sarcastic questioning — likely expressing doubt or disbelief.
This? Oh this is us discovering the LAST planet we destroyed by inhabiting it.,0,0,10/18/2015 03:01:28 PM,believes the fake news,0.456059843301773,irony,0.8846871256828308,Possible ironic endorsement — sarcasm misinterpreted as belief.
No No... Its my statue. Haha Hillarious,0,0,10/17/2015 06:37:34 PM,neutral,0.572393000125885,non_irony,0.5918192267417908,Likely critical or skeptical language.
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/459798703_3697695693812710_6425738932121540985_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=p8cOVcD0gjoQ7kNvgEn5sPi&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AlkzeSnikB9qc7Sm-mcNQcs&oh=00_AYD4T-PGfsbgeTM8qfz89uxHw1lM0onQC3vUMOqTsOErag&oe=67A02F79,7,0,10/17/2015 01:37:16 PM,criticizes the fake news,0.3992913365364074,non_irony,0.9507840275764465,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
