Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
"Yes.  Operation Highjump and Operation Argus indicate the US government’s keen, and highly classified interest in Antarctica that indicate more than just studying weather.",1,2,01/23/2024 07:22:06 PM,believes the fake news,0.3497380316257477,irony,0.9583103656768799,Possible ironic endorsement — sarcasm misinterpreted as belief.
"This would be awesome but I've seen what happens when someone messes about in the Antarctic pyramids.....

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/6211389401034884449?url=https%3A%2F%2Fmedia0.giphy.com%2Fmedia%2FSKKvwd519E28o%2Fgiphy.gif%3Fcid%3D999aceacf1ctduj34w5rhasi2h5ef7nsvsytujeb59fx1njl%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s400x419_tt6&ccb=13-1&oh=06_Q399fSJJD3iWhRm4spgJYzEiKDJLo5ndCxiNwM_qASsX5aY&oe=679C2DF8&_nc_sid=c97757",0,1,01/23/2024 07:50:37 PM,criticizes the fake news,0.4125309884548187,non_irony,0.9362078905105591,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
There are 13 sets of pyramids on earth.  Most people only know of the ones in Egypt.,0,1,01/23/2024 07:19:04 PM,neutral,0.3894411623477936,irony,0.9287392497062683,Ambiguous tone — sarcastic or humorous uncertainty.
We’ve explored the entire world at this point we would know the answer to that unequivocally.,0,8,01/23/2024 07:33:08 PM,criticizes the fake news,0.4282773733139038,non_irony,0.908454179763794,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"Antarctica is by & large very Barren & Flat, if 2Km Square Pyramids exist you would instantly see them. So far ""Zippo"".🤔",0,1,01/24/2024 11:13:29 PM,criticizes the fake news,0.5727534294128418,non_irony,0.8904480934143066,Sarcastic tone reinforced by emoji.
No.  Just people making stuff up.,2,1,01/23/2024 07:08:55 PM,criticizes the fake news,0.5554375052452087,irony,0.8726218342781067,Likely critical or skeptical language.
That is NOT a pyramid. It is a mountain range.,3,3,01/23/2024 07:09:05 PM,neutral,0.4180312752723694,non_irony,0.8612568378448486,Ambiguous tone — sarcastic or humorous uncertainty.
🤷‍♂️,1,2,01/23/2024 07:04:10 PM,neutral,0.5299474000930786,non_irony,0.8508551120758057,Ambiguous or uncertain expression — may need manual review.
"Really interesting and hard to say no.   Definitely needs further investigation  to confirm.  If the question is in the open, it is our responsibility to pursue the answer.",0,0,01/23/2024 07:46:35 PM,neutral,0.5547303557395935,non_irony,0.8474943041801453,Likely critical or skeptical language.
I would love if this were true!,1,0,01/23/2024 07:10:31 PM,criticizes the fake news,0.5428473353385925,non_irony,0.8114293217658997,Ambiguous or uncertain expression — may need manual review.
I believe it's worth exploring!,1,2,01/25/2024 07:11:30 PM,neutral,0.5998918414115906,non_irony,0.811230480670929,Ambiguous or uncertain expression — may need manual review.
Unfollowed lmao. Pseudoarchaeology,0,1,01/24/2024 01:20:58 PM,neutral,0.5524094700813293,non_irony,0.8074069023132324,Ambiguous or uncertain expression — may need manual review.
"No primates in Antarctica. 
Our primate ancestors were still in trees. 🌴",0,1,01/24/2024 03:11:54 AM,neutral,0.4938614666461944,irony,0.8058943748474121,Ambiguous tone — sarcastic or humorous uncertainty.
Why not Antarctica wasn’t always all ice,3,1,01/23/2024 07:04:55 PM,criticizes the fake news,0.5583449602127075,non_irony,0.7997540235519409,Likely critical or skeptical language.
I don’t believe in folklore or fairytales.,0,1,01/23/2024 11:18:50 PM,neutral,0.4674051702022552,non_irony,0.7918459177017212,Ambiguous tone — sarcastic or humorous uncertainty.
Of course it's true. Why do you think civilians can't go there? You can't even fly over certain parts it's illegal it's 2024 wake up already!,0,1,01/23/2024 08:22:26 PM,criticizes the fake news,0.5231586694717407,non_irony,0.7635668516159058,Sarcastic questioning — likely expressing doubt or disbelief.
https://timesofindia.indiatimes.com/travel/travel-news/reality-behind-natural-pyramid-like-mountain-discovered-in-antarctica/amp_articleshow/102426547.cms,0,0,01/23/2024 07:23:38 PM,criticizes the fake news,0.4480595588684082,non_irony,0.7601110339164734,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
