Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
Deb Prentice - I think Easter Island are looking for a Designer Deb. I'd like to see this... 😁,2,3,04/18/2017 01:16:01 PM,neutral,0.5901763439178467
"would love to be there doing ""shit"" like this - history in the making - i mean how exciting is this - awesome awesome",3,2,04/21/2017 09:18:40 PM,criticizes the fake news,0.44710028171539307
Not much has changed. Even today we hide our beer bellies.,18,1,04/18/2017 03:22:42 AM,neutral,0.7568320631980896
"i think they are to mark tombs of  Kings. Must have been full employment  on the island then,just making statues",0,1,04/18/2017 02:37:51 PM,neutral,0.46893206238746643
WOW - love shit like this - that is so fricken neat,4,7,04/18/2017 05:10:27 PM,criticizes the fake news,0.4658764898777008
And untill now  no one knew.,1,1,04/19/2017 07:22:36 PM,neutral,0.5623660683631897
Can't just leave shit alone huh,1,1,04/18/2017 08:27:52 PM,believes the fake news,0.47208940982818604
The statues are pretty amazing 😉,1,1,04/18/2017 03:57:05 PM,neutral,0.5255486369132996
Awesome!!!,1,1,04/20/2017 07:44:21 AM,criticizes the fake news,0.5418956875801086
Wow! Cool!,1,1,04/18/2017 04:06:22 PM,criticizes the fake news,0.5114712119102478
Are those hands down below?  April fools?,0,8,04/18/2017 03:20:38 AM,believes the fake news,0.5035860538482666
Total bullshit,0,3,04/20/2017 12:53:08 AM,believes the fake news,0.5303407311439514
Think it's faked,5,1,04/18/2017 04:23:05 AM,believes the fake news,0.6767167448997498
Photoshop,2,1,04/18/2017 03:43:39 AM,neutral,0.5305824279785156
You were'nt supposed to release them!!!!,0,1,04/19/2017 03:50:55 AM,criticizes the fake news,0.6670698523521423
Sarah did you see this or is it fake?!,1,1,04/18/2017 10:49:29 AM,criticizes the fake news,0.891144335269928
uh,0,1,04/20/2017 02:48:54 PM,neutral,0.7879341840744019
