Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
"Why all those strange pictures are capture from a far distance? Why can't it be taken from close range to make sure that what they believe are real? Now i'm not sure all these findings since it appears blurr and it seems only speculation about what it'd be....Untill a clear and fine close range pictures are shown, i won't believe all these theories and bullshit!..",91,8,10/17/2015 12:47:18 PM,criticizes the fake news,0.71366286277771
"What if (Hindu, Buddhist, Muslim, Christian, antithesis, scientists, psychology) Share same truth...?  Mankind is blind nowdays just like 7 brother argument for a elephant look. Being concerned about other people is especially relevant in today's world. If we consider the complex inter-connected ness of our modern lives, how we depend on others and others depend on us, our outlook will change. We’ll begin to see 'others' not as somehow distant from us, but as people we are in touch with, people close to us; we will no longer feel indifferent to them.",18,0,10/17/2015 12:39:17 PM,neutral,0.3619869649410248
Every shape which look like an animal or human figure doesn't mean that life was and is exist there. For me it's looks like King Kong figure!!,15,0,10/17/2015 12:42:10 PM,criticizes the fake news,0.6114290356636047
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/464969608_8961682433863757_7613597871330312245_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=9xSGSjgh8cgQ7kNvgHfzumy&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYCbFvDpeHwrDKRKvS7C6-9yrG4X6CizyUOMztB9YED6Ig&oe=67A038F1,31,0,10/17/2015 04:46:48 PM,criticizes the fake news,0.3786501884460449
"What's the conspiracy theory again..?
Did Gautama Buddha visited mars to spread Buddhism ...?",4,0,10/17/2015 06:09:31 PM,criticizes the fake news,0.6705942153930664
"Gautama Buddha was the greatest teacher ever the world have. According to the Buddha, we have 33 Lokho Bumis (33 world) in the universe but the scientist found 9, so its possbl to hav a buddha statue in mars by buddha's super enliphtenment power.",11,0,10/18/2015 03:28:37 AM,criticizes the fake news,0.493090957403183
Mars will soon claim that Lord #GautamBuddha was born on Mars as India does unashamedly from time to time.,3,0,10/17/2015 06:36:44 PM,criticizes the fake news,0.7543229460716248
aliens are buddhist.....!,4,0,10/17/2015 05:48:52 PM,believes the fake news,0.5315477848052979
Those statue might be taken and place by the NASA' s Buddhist astronauts,0,0,10/18/2015 11:21:55 AM,criticizes the fake news,0.42232546210289
"most rubbish news and thought I have ever known of.... Buddha statue cannot exist there, silly folks",0,0,10/18/2015 07:24:20 PM,criticizes the fake news,0.7113584876060486
"Look another instance of Pareidolia! Pareidolia is the tendency for humans to see familiar shapes in patterns or objects. It is why people see shapes in the clouds, or faces on toast... Nothing special at all.",3,0,10/18/2015 10:43:56 AM,neutral,0.5959081649780273
"Because getting a closer shot is unimaginable? Kind of like every UFO and Bigfoot/Alien sighting is captured in 240p, with today's technical specs giving most cell phone recordings a 720p standard? Excuse me, while I dismiss every bullshit theory about image speculation.",1,0,10/18/2015 03:18:09 PM,believes the fake news,0.505920946598053
"To me , it seems like statue of Modijee touching his mothers feet, he knows where the camera man is lol,,,,",5,0,10/17/2015 03:50:42 PM,believes the fake news,0.4232170283794403
NASA is good at creating such story.,2,0,10/17/2015 12:48:42 PM,believes the fake news,0.5595913529396057
"Science/NASA/Movies/TV/Media paint a picture that says human life is a mere random event. That compared to the universe, human beings are nothing special. That we're on this planet to serve our own selfish desires. Please do not be deceived.",0,0,10/18/2015 02:07:03 PM,criticizes the fake news,0.6002240777015686
