Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
Simple mind conditioning for the conspiracy plan in the future,36,17,03/22/2024 04:16:06 AM,criticizes the fake news,0.5177613496780396
Jade Johnson makes sense,0,0,03/24/2024 03:09:18 AM,neutral,0.8410756587982178
The Bermuda Triangle is the main grid that connects to all of the other Pyramids across the Planet...,21,13,03/23/2024 12:17:25 AM,criticizes the fake news,0.48580923676490784
They have known about this for a very long long time,18,2,03/23/2024 07:35:57 AM,criticizes the fake news,0.4547702372074127
I find this extremely fascinating.  Very interesting 👌,9,1,03/24/2024 02:32:12 PM,neutral,0.4611213207244873
The Bermuda triangle stopped existing............,0,0,03/23/2024 06:14:33 AM,criticizes the fake news,0.34153711795806885
Interesting,1,0,03/24/2024 04:23:30 AM,criticizes the fake news,0.617415726184845
how about Oceangate could organize some trips down there ^^,1,0,03/22/2024 11:59:13 PM,neutral,0.6489594578742981
Meu Deus do Céu,0,0,03/22/2024 08:50:38 PM,neutral,0.8635643124580383
Great potato shop,4,5,03/26/2024 03:05:23 AM,neutral,0.7254603505134583
Just curious what can be inside,0,0,03/24/2024 10:24:45 AM,neutral,0.6688672304153442
"well, yes... 20 years ago..  😅",0,0,03/25/2024 01:47:45 AM,neutral,0.3994567394256592
"Yep. ………good job. They wernt able to get the sperm where it was sposed to go. 
Back in 2020.  Otherwise we all wouldn’t n
Be here.    Activation didn’t happen.   Thank god 

Those that know know !! Wink wink",1,0,03/22/2024 05:31:12 PM,believes the fake news,0.3598455786705017
Incroyable,0,0,03/26/2024 11:08:13 AM,criticizes the fake news,0.5188059210777283
"Bermuda triangle, life inside there",0,0,03/22/2024 07:38:12 PM,neutral,0.6474277377128601
Prachtig. Geweldig nieuws 🙏🏻🙏🏻🙏🏻,0,0,03/24/2024 03:55:38 PM,neutral,0.5205119848251343
Tiene sentido !,0,0,03/25/2024 03:04:32 AM,believes the fake news,0.40183764696121216
Of course !,0,0,03/23/2024 09:10:35 AM,neutral,0.5551104545593262
Very interesting,0,0,03/27/2024 09:09:06 AM,criticizes the fake news,0.662992537021637
I love that they are finding these all over the world. Can’t wait to see others,0,0,03/23/2024 08:34:21 PM,neutral,0.6415009498596191
Right...,0,0,03/23/2024 03:02:13 PM,neutral,0.6725344061851501
Iv been there 😆,1,0,03/22/2024 05:29:27 PM,criticizes the fake news,0.4570620357990265
Sounds about right,4,0,03/23/2024 05:52:39 AM,neutral,0.9322931170463562
Love it!!!,5,1,03/24/2024 02:52:34 AM,criticizes the fake news,0.4573507606983185
Great news,3,0,03/22/2024 05:54:32 PM,neutral,0.7006828188896179
Zenada,0,0,03/22/2024 10:12:57 PM,neutral,0.8162645101547241
Woow.,0,0,03/22/2024 04:55:08 PM,criticizes the fake news,0.46785950660705566
Amazing,0,0,03/26/2024 01:11:52 AM,criticizes the fake news,0.4581984281539917
Right. 😆,1,0,03/22/2024 07:04:33 PM,neutral,0.5710327625274658
Story teller,0,0,03/23/2024 06:28:17 AM,neutral,0.5653127431869507
Muy interesante,0,0,03/22/2024 01:54:00 PM,criticizes the fake news,0.5891071557998657
