Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
"Absolutely,",0,0,01/23/2024 07:43:04 PM,neutral,0.3786691725254059
Anything is possible.,0,1,01/23/2024 08:01:47 PM,neutral,0.5739309787750244
"Really interesting and hard to say no.   Definitely needs further investigation  to confirm.  If the question is in the open, it is our responsibility to pursue the answer.",0,0,01/23/2024 07:46:35 PM,neutral,0.5547303557395935
Yep,0,2,01/24/2024 02:17:28 PM,neutral,0.7193560600280762
Those are mountains,0,0,01/24/2024 03:01:40 AM,neutral,0.698810875415802
There are 13 sets of pyramids on earth.  Most people only know of the ones in Egypt.,0,1,01/23/2024 07:19:04 PM,neutral,0.3894411623477936
I would love if this were true!,1,0,01/23/2024 07:10:31 PM,criticizes the fake news,0.5428473353385925
The interview with Billy Carson is fascinating,3,2,01/23/2024 08:37:47 PM,criticizes the fake news,0.44512253999710083
It doesn't matter what we think only what is true,0,1,01/24/2024 01:53:47 AM,neutral,0.899746835231781
I believe it's worth exploring!,1,2,01/25/2024 07:11:30 PM,neutral,0.5998918414115906
No,0,1,01/23/2024 09:24:07 PM,neutral,0.9261528849601746
"Actually, in Mexico",0,1,01/23/2024 08:13:00 PM,neutral,0.5904069542884827
"Antarctica is by & large very Barren & Flat, if 2Km Square Pyramids exist you would instantly see them. So far ""Zippo"".🤔",0,1,01/24/2024 11:13:29 PM,criticizes the fake news,0.5727534294128418
🤣🤙,0,1,01/23/2024 07:34:32 PM,neutral,0.40643179416656494
I think Billy has a big imagination,1,1,01/23/2024 08:07:03 PM,believes the fake news,0.5489346981048584
"Yes.  Operation Highjump and Operation Argus indicate the US government’s keen, and highly classified interest in Antarctica that indicate more than just studying weather.",1,2,01/23/2024 07:22:06 PM,believes the fake news,0.3497380316257477
Of course it's true. Why do you think civilians can't go there? You can't even fly over certain parts it's illegal it's 2024 wake up already!,0,1,01/23/2024 08:22:26 PM,criticizes the fake news,0.5231586694717407
We’ve explored the entire world at this point we would know the answer to that unequivocally.,0,8,01/23/2024 07:33:08 PM,criticizes the fake news,0.4282773733139038
I don’t believe in folklore or fairytales.,0,1,01/23/2024 11:18:50 PM,neutral,0.46740517020225525
"This would be awesome but I've seen what happens when someone messes about in the Antarctic pyramids.....

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/6211389401034884449?url=https%3A%2F%2Fmedia0.giphy.com%2Fmedia%2FSKKvwd519E28o%2Fgiphy.gif%3Fcid%3D999aceacf1ctduj34w5rhasi2h5ef7nsvsytujeb59fx1njl%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s400x419_tt6&ccb=13-1&oh=06_Q399fSJJD3iWhRm4spgJYzEiKDJLo5ndCxiNwM_qASsX5aY&oe=679C2DF8&_nc_sid=c97757",0,1,01/23/2024 07:50:37 PM,criticizes the fake news,0.4125309884548187
🤷‍♂️,1,2,01/23/2024 07:04:10 PM,neutral,0.5299474000930786
That where the Predators wanted them,0,1,01/24/2024 10:24:40 PM,neutral,0.4963137209415436
Why not Antarctica wasn’t always all ice,3,1,01/23/2024 07:04:55 PM,criticizes the fake news,0.5583449602127075
,1,2,01/23/2024 07:19:48 PM,neutral,0.0
no,0,1,01/23/2024 07:12:20 PM,neutral,0.9454503059387207
"No primates in Antarctica. 
Our primate ancestors were still in trees. 🌴",0,1,01/24/2024 03:11:54 AM,neutral,0.49386146664619446
Gotta clear the snow off and check them out lol makes sense why no normal citizen of any country isn’t allowed to go there you need to get some people stationed there to get on your show,1,7,01/23/2024 07:09:07 PM,believes the fake news,0.4920283854007721
"There’s a military base underneath the ice folks I think it’s pretty well known by now. The US took possession of it after Hitler was taken out. These are the secrets that the US learned from the handful of scientist that did not get into the Nuremberg trials to be executed. They traded their secrets for their freedom and in that freedom they created NASA and now look at us, communism is on the doorstep",0,1,01/23/2024 07:44:41 PM,criticizes the fake news,0.5300952792167664
"There used to be a lot more about this on YouTube, but back in 2018-2019, the internet started being scrubbed of a lot of “controversial topics”…",2,3,01/23/2024 07:07:36 PM,criticizes the fake news,0.4332267642021179
I think that the people that believe this stuff truly believe it (as do the people that think the earth is flat),0,0,01/29/2024 01:42:40 PM,believes the fake news,0.7147926688194275
https://timesofindia.indiatimes.com/travel/travel-news/reality-behind-natural-pyramid-like-mountain-discovered-in-antarctica/amp_articleshow/102426547.cms,0,0,01/23/2024 07:23:38 PM,criticizes the fake news,0.4480595588684082
No.  Just people making stuff up.,2,1,01/23/2024 07:08:55 PM,criticizes the fake news,0.5554375052452087
Unfollowed lmao. Pseudoarchaeology,0,1,01/24/2024 01:20:58 PM,neutral,0.5524094700813293
Nopeb,0,1,01/23/2024 11:55:24 PM,neutral,0.9470837712287903
That is NOT a pyramid. It is a mountain range.,3,3,01/23/2024 07:09:05 PM,neutral,0.4180312752723694
Well being as we can’t trust the science or fake news…. We may never know…..😎,1,3,01/23/2024 07:48:45 PM,criticizes the fake news,0.9419946074485779
