Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
"“Carved by lava and time” it says about something clearly moulded out of sand. And not too deeply at that, so that’s a few minutes work. Less if those really are tyre tracks all along the sole 😄",57,8,10/29/2025 03:27:52 PM,neutral,0.6191463470458984
This is definitely legit 😬🤔😂,23,11,10/29/2025 03:28:36 PM,criticizes the fake news,0.7118892073631287
We need a link to the page,6,5,10/29/2025 03:28:57 PM,neutral,0.5787709355354309
AI,5,0,10/29/2025 03:29:40 PM,neutral,0.6359158158302307
Sole entry in the 'human forms' sand constructions competition - no prizes awarded.,12,0,10/29/2025 03:31:31 PM,neutral,0.9485856890678406
He seems to have been wearing beach shoes...,9,1,10/29/2025 03:32:28 PM,neutral,0.6892185807228088
That shirtless moron would love this 😂😂,3,0,10/29/2025 03:32:33 PM,believes the fake news,0.566299557685852
i c a i b s,2,1,10/29/2025 03:34:19 PM,neutral,0.7780570983886719
"Yep, if that’s not real it’s definitely what I’d call a perfect illusion.",3,0,10/29/2025 03:34:22 PM,criticizes the fake news,0.507451057434082
https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/574272174_33038144585784723_3076018553183306106_n.jpg?stp=dst-jpg_p206x206_tt6&_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=jrcsk2A15a0Q7kNvwHZjE-Z&_nc_oc=AdkLfB0HOWVqBJS8cJfAYMVXnjhbsJSlU8CzqtjIL4BZyv5CEVhH52fGCHHHpqbMjek&_nc_zt=23&_nc_ht=scontent-fco2-1.xx&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&oh=00_AfiA5D3FiNbECblnVbhIqGprkiMDDFzA8kh6NAOTU5oi1Q&oe=6913F574,10,0,10/29/2025 03:38:24 PM,neutral,0.37687012553215027
"I particularly love how all these giants and dinosaur-riding humans always seem to descend from high above, boop the ground once and be gone.",30,4,10/29/2025 03:38:28 PM,neutral,0.38554102182388306
"Those are the only two possible explanations? How about ""a gang of adolescents playing a prank""?",6,6,10/29/2025 03:39:38 PM,criticizes the fake news,0.6189661026000977
Bro this is the most flat footed giant I ever seen. Do he got a giant podiatrist?,6,1,10/29/2025 03:40:07 PM,criticizes the fake news,0.5245372653007507
Do you ever wonder if some of these people are just Foot Guys who fantasize about getting stepped on?,9,0,10/29/2025 03:41:33 PM,criticizes the fake news,0.7340220808982849
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/14828696805627573183?url=https%3A%2F%2Fmedia.tenor.co%2FsOxx6hPTkKwAAAAM%2Fal-bundy-bundy.gif&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s220x166_tt6&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&_nc_oc=AdmO5esa8Zudp5hUo6MpWIgB0h50VjARSXwvsWheSk5k1MtDlC_XWls3A_3SuJvDS34&ccb=13-1&oh=06_Q3-4ARREh-foQn6k5_jXi1pDTsHldcexUgZt2HrywpYeg04g&oe=69100741&_nc_sid=c97757,3,1,10/29/2025 03:42:43 PM,neutral,0.3934601843357086
Was it created by the Foot Clan?,2,0,10/29/2025 03:43:13 PM,criticizes the fake news,0.6802683472633362
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/15624044371782216147?url=https%3A%2F%2Fmedia.tenor.com%2FujdF0_57HFYAAAAM%2Fmuddy-mud.gif&fb_obo=1&utld=tenor.com&stp=dst-emg0_q75_s220x140_tt6&_nc_gid=0hR7JfaQ8dsODmIxmWZoMg&_nc_oc=Admrr_6VsYb7mXWY8Cp5QWzt2NC1eIiWgsmzyQKqeGz5DsQD-2e0jb63Zi3bdRvKD_Y&ccb=13-1&oh=06_Q3-4ATd1FnbRMBu_SdTgDGimgbzCQOaEw8jhMhjR7cTlJTQO&oe=69100EE0&_nc_sid=c97757,1,0,10/29/2025 03:46:20 PM,neutral,0.4277288019657135
just the one footprint?,8,3,10/29/2025 03:46:28 PM,neutral,0.7964620590209961
Giants were renowned for their terrible arch and subsequent footie pains.,7,0,10/29/2025 03:46:35 PM,criticizes the fake news,0.4370829463005066
"Why, that's the footprint of the CEO of Antifa!",8,3,10/29/2025 03:48:00 PM,criticizes the fake news,0.5813714265823364
Made by people that don't understand how footprints work?,3,0,10/29/2025 03:49:10 PM,criticizes the fake news,0.6421985030174255
