Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
Transformers :),16,0,07/24/2013 09:10:05 PM,neutral,0.5472769737243652
Sorry to say most of you are going to have to think outside of your tiny prison like box that your religious parents put you in,9,0,07/24/2013 10:04:20 PM,neutral,0.44513365626335144
That happened long ago....Alien vs Predator lol movie,15,2,07/24/2013 08:11:11 PM,neutral,0.5166997313499451
Learn to spell you potato... (Abhishek),7,0,07/25/2013 03:39:19 AM,criticizes the fake news,0.49821552634239197
Been saying for years that I reckon something's buried under Antarctica that would make us rethink our history. Be nice if they are artificial constructs and not natural formations. Guess we'll all have to wait and see.,6,0,07/24/2013 10:43:40 PM,neutral,0.4469006359577179
Beware....!Transformers have hidden there machines.....!!!,9,0,07/24/2013 08:15:59 PM,believes the fake news,0.4835580587387085
Google it people. Have some common sense and make up your own minds. Complete hoax. The structures are glacial horns. Google it,4,0,07/24/2013 09:29:51 PM,criticizes the fake news,0.721298098564148
I see a battle between alien and predator going on here.,4,0,07/25/2013 01:05:48 AM,criticizes the fake news,0.7100887298583984
Pissable? Is that a word?,3,0,07/25/2013 12:27:22 AM,criticizes the fake news,0.5575466156005859
Predator Vs Aliens ! lol,3,0,07/24/2013 10:30:15 PM,believes the fake news,0.6423017978668213
"Aliens,please stop trolling us...lol",4,0,07/24/2013 08:13:47 PM,criticizes the fake news,0.7356934547424316
Martin Dell,1,0,07/25/2013 02:15:47 PM,neutral,0.7632432579994202
Adem Kamchah,2,0,07/24/2013 08:16:10 PM,neutral,0.6555005311965942
Winter is coming,3,0,07/24/2013 08:33:04 PM,neutral,0.6060627102851868
"Check out what Edgar Cayce says about that landmass, and others. Keep an open mind to the fact that we are not at all the pinnacle of human civilization.",3,0,07/24/2013 08:30:41 PM,neutral,0.6692982912063599
Bullshittttttt Emma Danielle,1,0,07/25/2013 02:26:45 AM,believes the fake news,0.5589083433151245
Its fake. Thia vide was published in sept 2012 and till now there is nothing. http://youtu.be/stKJJ6xWYFY,2,0,07/24/2013 11:26:30 PM,criticizes the fake news,0.6726130843162537
Rise of Snow man,2,0,07/24/2013 08:23:23 PM,neutral,0.46970897912979126
"run run run the aliens are coming!!!!!!""""""lolllzzz",2,0,07/24/2013 08:15:23 PM,criticizes the fake news,0.5489696860313416
Hello erosion.,1,0,07/24/2013 08:15:07 PM,neutral,0.8281876444816589
"★★★★★★★★★★★★★★  
Must Read ? ?  
(•_•)
<) )? 
./ \.
if you want to make yourself a 
“MYSTERIOUS PERSON”
“FAMOUS PERSON”
“TO INCRESE YOUR RAPOO ON FACEBOOK BY MAGIC”
  you like my page…………
and become a famous only in 1 hours…….
I am not joking……..let’s try……………
★★★★★★★★★★★★★★",0,0,07/25/2013 06:07:44 AM,believes the fake news,0.501186192035675
That's amazing!,0,0,07/25/2013 02:57:11 AM,criticizes the fake news,0.6419286727905273
http://english.ruvr.ru/news/2013_06_18/Ancient-pyramids-possibly-man-made-discovered-in-Antarctica-5371/,0,0,07/25/2013 02:50:45 AM,neutral,0.5178658962249756
Cool!,0,0,07/25/2013 02:37:07 AM,neutral,0.6736509799957275
stranger !!!,0,0,07/24/2013 09:00:24 PM,criticizes the fake news,0.4234238266944885
Sandy Walter,0,0,07/24/2013 08:58:26 PM,neutral,0.7724522352218628
ANCIENT ALLEINS,0,1,07/24/2013 08:49:27 PM,neutral,0.8771066665649414
And here I'm watching that dang movie >=|,0,0,07/24/2013 08:34:37 PM,criticizes the fake news,0.46261167526245117
Why not ...,0,0,07/24/2013 08:09:10 PM,neutral,0.8583275079727173
The predators are gonna be pissed off.,2,0,08/29/2013 12:28:32 PM,criticizes the fake news,0.6785613894462585
"sounds a bit fake, besides Antarctica was covered by ice long before Humans arrived",1,1,07/24/2013 08:15:34 PM,criticizes the fake news,0.6545750498771667
It's Predator!!,3,0,07/24/2013 08:31:45 PM,criticizes the fake news,0.6122136116027832
There have been many ice ages and polar shifts....its pissible that was a desery millions bof years back,0,0,07/24/2013 11:53:04 PM,neutral,0.5256165266036987
that's a tent! covered with snow :3,0,0,07/25/2013 10:17:22 AM,criticizes the fake news,0.38044044375419617
i think it was made by the ancient aliens!,1,0,07/25/2013 06:02:46 PM,criticizes the fake news,0.588296115398407
"we have seen the UFO, not to the elians.",1,0,07/25/2013 04:21:46 AM,criticizes the fake news,0.6583155989646912
Damn god.. These people play wid ur mind. This myt b fake or true.. letz c.. anyhow itz interesting to even think bout such thingz....,0,0,07/25/2013 03:17:14 AM,criticizes the fake news,0.7414805293083191
Is this a test of how stupid people are?,1,0,07/25/2013 02:10:46 AM,criticizes the fake news,0.7377991080284119
alien vs predator!,1,0,07/25/2013 01:42:18 AM,criticizes the fake news,0.5828536748886108
We're too busy by doing nothing.  So we're unable to copy and paste it for search,1,0,07/25/2013 01:00:41 AM,neutral,0.6602991223335266
In Bosnia aswell.,0,0,07/24/2013 10:43:55 PM,neutral,0.6444680690765381
"this can't be true,,!!!",0,1,07/24/2013 09:25:02 PM,criticizes the fake news,0.7671820521354675
Sry...,1,0,07/24/2013 08:56:06 PM,neutral,0.612856924533844
Oooooo,1,0,07/24/2013 08:25:07 PM,neutral,0.363895982503891
Fake,1,0,07/24/2013 08:21:19 PM,criticizes the fake news,0.5577608346939087
Damn !,0,0,07/24/2013 08:26:43 PM,criticizes the fake news,0.5807936191558838
END OF THE WORLD,1,0,07/24/2013 08:16:52 PM,criticizes the fake news,0.39904654026031494
Holy fuck this is true!!,0,0,07/24/2013 08:13:46 PM,criticizes the fake news,0.8370810151100159
Never,0,0,07/24/2013 08:08:56 PM,neutral,0.8209555149078369
What if before the human evolution the climate of Antarctica or Arctic was warmer and human life was there?,2,0,07/25/2013 06:52:12 AM,criticizes the fake news,0.519324779510498
Phillip Chewy Whitfield,1,0,07/24/2013 08:15:25 PM,neutral,0.6830147504806519
sounds fake,0,0,07/24/2013 08:11:21 PM,believes the fake news,0.7378268241882324
"Lol people are like its fake haha wtf do you mean people, the whole fuckin like contient is covered in glaciers all of which are covered in ice yall are ignorgant, if yall think we smartest planet in the whole eons. Thats fucking retarded aliens are just laughing at you now 0.o",1,0,07/24/2013 08:59:30 PM,criticizes the fake news,0.46861740946769714
there in  eygpt it just snowed there!!,0,0,12/18/2013 03:09:17 PM,criticizes the fake news,0.4190112054347992
It's a peak in antarctica!!,0,0,12/05/2013 05:21:00 PM,neutral,0.4883045554161072
Any updates ?,0,0,09/19/2013 08:33:25 AM,criticizes the fake news,0.48464781045913696
Fiona Crack-Bowerman,0,1,08/12/2013 09:05:48 AM,neutral,0.7059946060180664
Now it is showtime! Woohoo. I am excited to find out!,0,0,07/26/2013 10:36:32 AM,neutral,0.44019433856010437
Yeah now tell me humans made them! Pffft we aren't that smart!,0,0,07/25/2013 10:10:02 PM,believes the fake news,0.5094495415687561
Old news. This is not fake either.,0,0,07/25/2013 02:36:58 PM,neutral,0.5193691253662109
the first moubd luks like a wind-eroded mountain,0,0,07/25/2013 12:13:54 PM,criticizes the fake news,0.43023812770843506
They are  Sri Yantras proved scientifically,0,0,07/25/2013 10:29:06 AM,neutral,0.5188784599304199
Daniel Start,0,0,07/25/2013 10:07:36 PM,neutral,0.7294409275054932
Photoshop!,0,0,07/24/2013 08:40:56 PM,criticizes the fake news,0.625373899936676
Wow! is that real?,0,0,07/25/2013 01:35:48 AM,criticizes the fake news,0.7897554039955139
When did they find this?,0,0,07/24/2013 08:08:43 PM,criticizes the fake news,0.5303625464439392
Woahh,0,0,07/24/2013 08:08:26 PM,criticizes the fake news,0.44407328963279724
i surely bet these are not man made because if they....they've been transformed into another shape till now,0,0,07/26/2013 02:15:16 AM,criticizes the fake news,0.38530948758125305
