Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
Transformers :),16,0,07/24/2013 09:10:05 PM,neutral,0.5472769737243652,irony,0.5895460247993469,Ambiguous or uncertain expression — may need manual review.
Sorry to say most of you are going to have to think outside of your tiny prison like box that your religious parents put you in,9,0,07/24/2013 10:04:20 PM,neutral,0.4451336562633514,irony,0.5949411392211914,Ambiguous or uncertain expression — may need manual review.
That happened long ago....Alien vs Predator lol movie,15,2,07/24/2013 08:11:11 PM,neutral,0.5166997313499451,non_irony,0.5704790949821472,Ambiguous or uncertain expression — may need manual review.
Learn to spell you potato... (Abhishek),7,0,07/25/2013 03:39:19 AM,criticizes the fake news,0.4982155263423919,non_irony,0.746371328830719,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Been saying for years that I reckon something's buried under Antarctica that would make us rethink our history. Be nice if they are artificial constructs and not natural formations. Guess we'll all have to wait and see.,6,0,07/24/2013 10:43:40 PM,neutral,0.4469006359577179,non_irony,0.8826516270637512,Ambiguous tone — sarcastic or humorous uncertainty.
Beware....!Transformers have hidden there machines.....!!!,9,0,07/24/2013 08:15:59 PM,believes the fake news,0.4835580587387085,irony,0.6397762298583984,Ambiguous or uncertain expression — may need manual review.
Pissable? Is that a word?,3,0,07/25/2013 12:27:22 AM,criticizes the fake news,0.5575466156005859,non_irony,0.9296270608901978,Sarcastic questioning — likely expressing doubt or disbelief.
Bullshittttttt Emma Danielle,1,0,07/25/2013 02:26:45 AM,believes the fake news,0.5589083433151245,non_irony,0.6429808139801025,Ambiguous or uncertain expression — may need manual review.
Rise of Snow man,2,0,07/24/2013 08:23:23 PM,neutral,0.4697089791297912,irony,0.5029784440994263,Likely critical or skeptical language.
"run run run the aliens are coming!!!!!!""""""lolllzzz",2,0,07/24/2013 08:15:23 PM,criticizes the fake news,0.5489696860313416,irony,0.5539513826370239,Ambiguous or uncertain expression — may need manual review.
"★★★★★★★★★★★★★★  
Must Read ? ?  
(•_•)
<) )? 
./ \.
if you want to make yourself a 
“MYSTERIOUS PERSON”
“FAMOUS PERSON”
“TO INCRESE YOUR RAPOO ON FACEBOOK BY MAGIC”
  you like my page…………
and become a famous only in 1 hours…….
I am not joking……..let’s try……………
★★★★★★★★★★★★★★",0,0,07/25/2013 06:07:44 AM,believes the fake news,0.501186192035675,non_irony,0.8386461734771729,Sarcastic questioning — likely expressing doubt or disbelief.
http://english.ruvr.ru/news/2013_06_18/Ancient-pyramids-possibly-man-made-discovered-in-Antarctica-5371/,0,0,07/25/2013 02:50:45 AM,neutral,0.5178658962249756,non_irony,0.8133275508880615,Ambiguous or uncertain expression — may need manual review.
stranger !!!,0,0,07/24/2013 09:00:24 PM,criticizes the fake news,0.4234238266944885,irony,0.5150157809257507,Ambiguous or uncertain expression — may need manual review.
And here I'm watching that dang movie >=|,0,0,07/24/2013 08:34:37 PM,criticizes the fake news,0.4626116752624511,non_irony,0.6274601817131042,Ambiguous or uncertain expression — may need manual review.
There have been many ice ages and polar shifts....its pissible that was a desery millions bof years back,0,0,07/24/2013 11:53:04 PM,neutral,0.5256165266036987,non_irony,0.5525141358375549,Ambiguous or uncertain expression — may need manual review.
that's a tent! covered with snow :3,0,0,07/25/2013 10:17:22 AM,criticizes the fake news,0.3804404437541961,non_irony,0.7373324632644653,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
i think it was made by the ancient aliens!,1,0,07/25/2013 06:02:46 PM,criticizes the fake news,0.588296115398407,irony,0.5430559515953064,Ambiguous or uncertain expression — may need manual review.
alien vs predator!,1,0,07/25/2013 01:42:18 AM,criticizes the fake news,0.5828536748886108,non_irony,0.6101037263870239,Ambiguous or uncertain expression — may need manual review.
Oooooo,1,0,07/24/2013 08:25:07 PM,neutral,0.363895982503891,irony,0.5063067078590393,Ambiguous or uncertain expression — may need manual review.
Fake,1,0,07/24/2013 08:21:19 PM,criticizes the fake news,0.5577608346939087,non_irony,0.5419493913650513,Likely critical or skeptical language.
Damn !,0,0,07/24/2013 08:26:43 PM,criticizes the fake news,0.5807936191558838,irony,0.6590806245803833,Ambiguous or uncertain expression — may need manual review.
END OF THE WORLD,1,0,07/24/2013 08:16:52 PM,criticizes the fake news,0.3990465402603149,non_irony,0.5990461111068726,Ambiguous or uncertain expression — may need manual review.
What if before the human evolution the climate of Antarctica or Arctic was warmer and human life was there?,2,0,07/25/2013 06:52:12 AM,criticizes the fake news,0.519324779510498,non_irony,0.8054027557373047,Sarcastic questioning — likely expressing doubt or disbelief.
"Lol people are like its fake haha wtf do you mean people, the whole fuckin like contient is covered in glaciers all of which are covered in ice yall are ignorgant, if yall think we smartest planet in the whole eons. Thats fucking retarded aliens are just laughing at you now 0.o",1,0,07/24/2013 08:59:30 PM,criticizes the fake news,0.4686174094676971,non_irony,0.7851047515869141,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
there in  eygpt it just snowed there!!,0,0,12/18/2013 03:09:17 PM,criticizes the fake news,0.4190112054347992,irony,0.8003901243209839,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
It's a peak in antarctica!!,0,0,12/05/2013 05:21:00 PM,neutral,0.4883045554161072,irony,0.7237188816070557,Ambiguous tone — sarcastic or humorous uncertainty.
Any updates ?,0,0,09/19/2013 08:33:25 AM,criticizes the fake news,0.4846478104591369,non_irony,0.9192241430282593,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Now it is showtime! Woohoo. I am excited to find out!,0,0,07/26/2013 10:36:32 AM,neutral,0.4401943385601043,irony,0.7438616156578064,Ambiguous tone — sarcastic or humorous uncertainty.
Yeah now tell me humans made them! Pffft we aren't that smart!,0,0,07/25/2013 10:10:02 PM,believes the fake news,0.5094495415687561,irony,0.7522862553596497,Likely critical or skeptical language.
Old news. This is not fake either.,0,0,07/25/2013 02:36:58 PM,neutral,0.5193691253662109,non_irony,0.8653011322021484,Likely critical or skeptical language.
the first moubd luks like a wind-eroded mountain,0,0,07/25/2013 12:13:54 PM,criticizes the fake news,0.430238127708435,non_irony,0.7839521765708923,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
They are  Sri Yantras proved scientifically,0,0,07/25/2013 10:29:06 AM,neutral,0.5188784599304199,irony,0.7142521142959595,Ambiguous or uncertain expression — may need manual review.
When did they find this?,0,0,07/24/2013 08:08:43 PM,criticizes the fake news,0.5303625464439392,non_irony,0.9375652074813843,Sarcastic questioning — likely expressing doubt or disbelief.
Woahh,0,0,07/24/2013 08:08:26 PM,criticizes the fake news,0.4440732896327972,irony,0.6828228235244751,Ambiguous or uncertain expression — may need manual review.
i surely bet these are not man made because if they....they've been transformed into another shape till now,0,0,07/26/2013 02:15:16 AM,criticizes the fake news,0.385309487581253,non_irony,0.8820247054100037,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
