Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
"Keep digging, he’s sitting on a horse 🐎",270,12,07/10/2022 03:09:15 PM,believes the fake news,0.5010200142860413
We just blindly assumed they were heads sitting on the earth? I’m disappointed in humanity that we never explored this further until now 😬🤦🏻‍♀️,50,11,07/11/2022 01:14:44 AM,criticizes the fake news,0.6038191318511963
"Kind of disappointing, less unique, lots of statues have bodies. 
They should have quit when they were a head.",51,6,07/12/2022 12:30:57 AM,neutral,0.5560460686683655
"I've noticed that things in the yard eventually become covered by dirt, leaves etc... during the erosion process. I wonder if these were actually buried, or if, over time, they were simply buried by the earth.",38,8,07/10/2022 04:56:26 PM,neutral,0.6008204221725464
"I listen to the ‘No such thing as a fish’ podcast and first learned about these not so body-less heads. If you have a penchant for facts and myth busting, listen to the podcast.",28,0,07/10/2022 01:36:27 PM,criticizes the fake news,0.7215908765792847
That should tell ya a rough age. The sphinx was totally buried except for most of the head at one time as well. Nature buried these ancient statue's and tombs. These stories haven't been told truthfully,23,6,07/10/2022 02:37:10 AM,believes the fake news,0.41723740100860596
Perhaps a great flood buried them?? ...and swept away the people.,20,8,07/09/2022 09:12:52 PM,criticizes the fake news,0.5438886880874634
on the other side of the globe there are also stone statues with a similar pose  https://photographers.ua/photo/drevnie-bogi-415606/,16,7,07/10/2022 06:45:55 PM,neutral,0.57747882604599
I cannot beleive that this was really the first occasion to check it...,17,5,07/10/2022 02:37:47 PM,criticizes the fake news,0.41639259457588196
"I've read that given the average rate of overburden deposition, it would be impossible to bury the statues to that depth in the amount of time it is estimated to have happened. Meaning what? Meaning these statues are waaay older than is estimated.",13,3,07/10/2022 06:36:09 AM,criticizes the fake news,0.4616241455078125
"One of the great mystries of life, along with the pyramids. Would love to see them both someday  ♥️",8,0,07/10/2022 09:26:28 PM,neutral,0.7448428273200989
Funnily enough Dutch explorers in the 1600s who landed on Easter Island and met the locals described the statues as having bodies and standing upright above the ground. So it's only at some point since then that they buried them up to their necks.,10,0,07/12/2022 11:45:58 AM,criticizes the fake news,0.572315514087677
"https://youtu.be/7j08gxUcBgc 

For those looking for some deeper history. Carved from the mountainside and then pulled with ropes back and forth so they wobbled and thus walked to the beach on their own.",8,0,07/10/2022 08:17:31 AM,criticizes the fake news,0.4871126413345337
"What is even more interesting is to check out the experience made to show how the statues were “ walking “ 

https://youtu.be/YpNuh-J5IgE",8,0,07/10/2022 03:51:05 PM,criticizes the fake news,0.506216287612915
"After many years, my wife also discovered that I had a body.",21,2,07/11/2022 03:39:25 AM,neutral,0.4419289231300354
Are they holding their peen? Maybe it’s just statues of peeing. Are they sure that when it rains it doesn’t turn into a fountain?,22,5,07/10/2022 02:28:04 AM,criticizes the fake news,0.5081623792648315
"Been there twice when working on Norweigen ships, ship would anchor about three km off shore and  you would have to get a tender ashore. To get to the statues you could either get a taxi or ride there on a half wild horse. That was in the late 1960s.",8,6,07/11/2022 01:19:19 AM,neutral,0.37816083431243896
It's amazing  I never knew  that there is a part of the body  also buried underground  We will gain more knowledge and information.​  what is very good,7,0,07/10/2022 10:37:44 AM,neutral,0.6193896532058716
"This is the place, which I want to visit most of all in the world!.",6,4,07/10/2022 09:03:28 AM,criticizes the fake news,0.4321328401565552
Amazing. What took them so long to imagine or figure that out???,5,4,07/11/2022 02:01:47 PM,criticizes the fake news,0.6977940797805786
"This is old news!!!
The Norwegian explorer Thor Heyerdahl found out this when he visited Easter Island in 1955-56.
You can read all about it in the book Aku-Aku. Just look up «Aku-Aku» at Wikipedia.",5,3,07/12/2022 08:28:14 AM,criticizes the fake news,0.7293757200241089
Yep—and their toes go all the way through the Earth and stick out at Stonehenge….,5,0,07/12/2022 04:50:00 PM,criticizes the fake news,0.4452973008155823
I always wondered if there was more to these than met the eye!,3,0,07/15/2022 07:53:54 PM,criticizes the fake news,0.7509742975234985
"Like most old guys, they don't look so good below the chin.",5,0,07/16/2022 04:55:37 AM,neutral,0.4672563672065735
Who do you think did this obviously not the people that live there there weren't enough of them on the island to move that s*** around,3,1,07/10/2022 09:37:06 PM,criticizes the fake news,0.622768759727478
Now why did it take so long to think about this possibility,5,3,07/11/2022 03:05:41 PM,criticizes the fake news,0.4806763231754303
Well that's nothing new. There are many statues on the island that are not buried to the neck. https://en.wikipedia.org/wiki/Moai#/media/File:Ahu-Akivi-1.JPG,12,1,07/10/2022 12:08:21 PM,neutral,0.4116080403327942
